seed,chain_id,budget,lisa_penalty,morans_i,abs_morans_i,jfi_resources,jfi_influence
8,0,500000,2.1305,-0.3975,0.3975,1.0,0.9999
8,1,500000,7.1157,0.2159,0.2159,1.0,0.9999
8,2,500000,3.5359,-0.3397,0.3397,1.0,0.9999
4,0,500000,3.6607,-0.2076,0.2076,1.0,0.9999
4,1,500000,2.2244,-0.084,0.084,1.0,1.0
4,2,500000,2.3858,-0.1857,0.1857,1.0,1.0
13,0,500000,3.6877,-0.1385,0.1385,1.0,0.9999
13,1,500000,4.4357,-0.0108,0.0108,0.9999,1.0
13,2,500000,2.3991,-0.212,0.212,1.0,1.0
7,0,500000,1.733,-0.2823,0.2823,1.0,1.0
7,1,500000,4.3388,-0.0446,0.0446,1.0,0.9999
7,2,500000,2.9596,-0.1862,0.1862,0.9998,1.0
12,0,500000,5.7825,0.0662,0.0662,1.0,1.0
12,1,500000,2.3868,-0.2858,0.2858,1.0,1.0
12,2,500000,2.6592,-0.2632,0.2632,1.0,1.0
9,0,500000,5.9507,-0.0757,0.0757,1.0,1.0
9,1,500000,6.2875,0.1545,0.1545,1.0,1.0
9,2,500000,3.3299,-0.2608,0.2608,1.0,0.9999
0,0,500000,3.2578,-0.154,0.154,0.9999,1.0
0,1,500000,4.7072,-0.0267,0.0267,1.0,1.0
0,2,500000,3.3566,-0.2115,0.2115,1.0,1.0
14,0,500000,6.8344,0.1635,0.1635,1.0,1.0
14,1,500000,2.5522,-0.3668,0.3668,1.0,1.0
14,2,500000,3.8806,-0.2575,0.2575,0.9999,1.0
1,0,500000,2.3255,-0.0633,0.0633,1.0,0.9998
1,1,500000,7.6645,0.3587,0.3587,1.0,0.9999
1,2,500000,4.5771,-0.1235,0.1235,1.0,0.9998
11,0,500000,8.5608,0.1118,0.1118,1.0,1.0
11,1,500000,4.0098,-0.1079,0.1079,1.0,1.0
11,2,500000,2.3164,-0.1642,0.1642,1.0,1.0
10,0,500000,4.4449,-0.1323,0.1323,1.0,1.0
10,1,500000,4.7118,-0.1389,0.1389,1.0,1.0
10,2,500000,2.8274,-0.1911,0.1911,1.0,0.9999
2,0,500000,6.4699,0.09,0.09,1.0,1.0
2,1,500000,5.4752,-0.0133,0.0133,1.0,1.0
2,2,500000,14.4612,0.4746,0.4746,1.0,1.0
5,0,500000,7.9542,0.3186,0.3186,0.9998,0.9998
5,1,500000,3.1651,0.0593,0.0593,0.9999,0.9998
5,2,500000,2.0023,-0.0091,0.0091,0.9999,0.9998
3,0,500000,3.0792,-0.3126,0.3126,1.0,0.9999
